,Category,Description,Data.Cholesterol,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin C,Data.Fiber,Data.Major Minerals.Calcium,Data.Protein,Data.Fat.Monosaturated Fat,Data.Major Minerals.Sodium,Data.Major Minerals.Iron,Data.Sugar Total
561,Cheese spread,"Cheese spread, Swiss cheese base",55,173,0.0,0.0,562,16.41,6.219,1625,0.33,7.32
562,Cheese spread,"Cheese spread, cream cheese, regular",90,302,0.0,0.0,71,7.1,8.071,436,1.13,3.5
563,Cheese spread,"Cheese spread, cream cheese, light",54,161,0.0,0.0,148,7.85,3.996,359,0.17,5.82
564,Cheese spread,"Cheese spread, pressurized can",55,173,0.0,0.0,562,16.41,6.219,1625,0.33,7.32
565,Imitation cheese,Imitation cheese,15,115,0.0,0.0,705,25.0,14.127,670,0.7,1.0
566,Cheese,"Cheese, cottage cheese, with gelatin dessert",9,20,0.0,0.0,46,6.55,0.419,204,0.05,7.66
567,Cheese,"Cheese, cottage cheese, with gelatin dessert and fruit",7,20,0.8,0.4,37,5.11,0.321,156,0.13,8.52
568,Cheese,"Cheese, cottage cheese, with gelatin dessert and vegetables",11,44,3.2,0.2,58,7.71,0.514,230,0.08,5.37
569,Cheese ball,Cheese ball,71,206,0.9,1.5,393,18.09,7.934,546,0.78,1.74
570,Artichoke dip,Artichoke dip,39,62,2.0,0.9,101,3.65,7.527,601,0.24,2.08
571,Spinach and artichoke dip,Spinach and artichoke dip,39,141,1.6,1.2,118,4.0,7.524,614,0.46,1.52
572,Seafood dip,Seafood dip,73,61,1.5,0.2,117,5.97,7.54,708,0.44,1.95
573,Cheese dip with chili pepper,Cheese dip with chili pepper,9,33,0.4,0.7,98,3.14,2.762,796,0.14,1.95
574,Cheese dip,Cheese dip,8,20,0.0,0.3,74,3.24,5.066,651,0.53,0.29
575,Topping from cheese pizza,Topping from cheese pizza,45,156,1.1,1.0,485,16.86,3.366,713,0.58,4.38
576,Topping from vegetable pizza,Topping from vegetable pizza,40,146,17.3,1.9,455,15.59,4.803,805,2.18,5.75
577,Topping from meat pizza,Topping from meat pizza,68,105,0.7,0.7,314,19.19,8.921,934,0.97,3.2
578,Topping from meat and vegetable pizza,Topping from meat and vegetable pizza,61,98,11.0,1.0,286,17.55,8.0,837,0.97,4.09
579,Cheese fondue,Cheese fondue,68,188,0.0,0.0,639,19.31,5.788,303,0.3,0.53
580,Cheese souffle,Cheese souffle,144,179,0.0,0.1,192,9.45,4.139,327,0.74,2.46
581,Welsh rarebit,Welsh rarebit,26,150,0.1,0.1,241,7.49,3.682,280,0.14,4.22
582,Cheese sandwich,"Cheese sandwich, NFS",32,111,0.0,1.4,690,12.17,2.75,807,2.37,5.71
583,Cheese sandwich,"Cheese sandwich, American cheese, on white bread, no spread",32,111,0.0,1.4,690,12.17,2.75,807,2.37,5.71
584,Cheese sandwich,"Cheese sandwich, American cheese, on wheat bread, no spread",32,111,0.1,3.2,661,13.33,2.712,799,2.24,5.63
585,Cheese sandwich,"Cheese sandwich, American cheese, on whole wheat bread, no spread",32,111,0.1,3.2,661,13.33,2.712,799,2.24,5.63
586,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on white bread, no spread",41,130,0.0,1.4,415,15.14,3.485,550,2.04,3.28
587,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",41,130,0.1,3.2,386,16.3,3.447,541,1.92,3.2
588,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",41,130,0.1,3.2,386,16.3,3.447,541,1.92,3.2
589,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on white bread, no spread",22,103,0.0,1.4,342,12.79,2.122,775,2.06,6.44
590,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",22,103,0.1,3.2,313,13.95,2.084,767,1.94,6.36
591,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",22,103,0.1,3.2,313,13.95,2.084,767,1.94,6.36
592,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",31,60,0.0,1.4,437,16.81,2.606,539,2.03,3.25
593,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",31,60,0.1,3.2,408,17.97,2.568,531,1.9,3.17
594,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",31,60,0.1,3.2,408,17.97,2.568,531,1.9,3.17
595,Cheese sandwich,"Cheese sandwich, American cheese, on white bread, with mayonnaise",33,100,0.0,1.2,608,10.82,4.451,786,2.11,5.09
596,Cheese sandwich,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",33,100,0.1,2.8,582,11.84,4.418,779,2.0,5.02
597,Cheese sandwich,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",33,100,0.1,2.8,582,11.84,4.418,779,2.0,5.02
598,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",41,116,0.0,1.2,366,13.43,5.097,560,1.82,2.95
599,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",41,116,0.1,2.8,340,14.45,5.064,553,1.71,2.88
600,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",41,116,0.1,2.8,340,14.45,5.064,553,1.71,2.88
601,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",24,92,0.0,1.2,302,11.37,3.899,758,1.84,5.74
602,Cheese sandwich,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",24,92,0.1,2.8,276,12.38,3.865,751,1.73,5.66
603,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",24,92,0.1,2.8,276,12.38,3.865,751,1.73,5.66
604,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",33,54,0.0,1.2,386,14.9,4.324,551,1.81,2.92
605,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",33,54,0.1,2.8,360,15.92,4.29,543,1.7,2.86
606,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",33,54,0.1,2.8,360,15.92,4.29,543,1.7,2.86
607,Cheese sandwich,"Cheese sandwich, American cheese, on white bread, with butter",44,187,0.0,1.2,610,10.77,5.11,790,2.08,5.03
608,Cheese sandwich,"Cheese sandwich, American cheese, on wheat bread, with butter",44,187,0.1,2.8,584,11.79,5.077,782,1.98,4.96
609,Cheese sandwich,"Cheese sandwich, American cheese, on whole wheat bread, with butter",44,187,0.1,2.8,584,11.79,5.077,782,1.98,4.96
610,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on white bread, with butter",52,203,0.0,1.2,368,13.38,5.757,564,1.8,2.89
611,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",52,203,0.1,2.8,342,14.4,5.723,556,1.69,2.82
612,Cheese sandwich,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",52,203,0.1,2.8,342,14.4,5.723,556,1.69,2.82
613,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on white bread, with butter",35,180,0.0,1.2,303,11.32,4.558,762,1.81,5.67
614,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",35,180,0.1,2.8,278,12.34,4.525,754,1.7,5.6
615,Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",35,180,0.1,2.8,278,12.34,4.525,754,1.7,5.6
616,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter",43,142,0.0,1.2,387,14.85,4.983,554,1.78,2.86
617,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter",43,142,0.1,2.8,362,15.87,4.95,547,1.68,2.79
618,Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter",43,142,0.1,2.8,362,15.87,4.95,547,1.68,2.79
619,Grilled cheese sandwich,"Grilled cheese sandwich, NFS",44,187,0.0,1.2,610,10.77,5.11,790,2.08,5.03
620,Grilled cheese sandwich,"Grilled cheese sandwich, American cheese, on white bread",44,187,0.0,1.2,610,10.77,5.11,790,2.08,5.03
621,Grilled cheese sandwich,"Grilled cheese sandwich, American cheese, on wheat bread",44,187,0.1,2.8,584,11.79,5.077,782,1.98,4.96
622,Grilled cheese sandwich,"Grilled cheese sandwich, American cheese, on whole wheat bread",44,187,0.1,2.8,584,11.79,5.077,782,1.98,4.96
623,Grilled cheese sandwich,"Grilled cheese sandwich, Cheddar cheese, on white bread",52,203,0.0,1.2,368,13.38,5.757,564,1.8,2.89
624,Grilled cheese sandwich,"Grilled cheese sandwich, Cheddar cheese, on wheat bread",52,203,0.1,2.8,342,14.4,5.723,556,1.69,2.82
625,Grilled cheese sandwich,"Grilled cheese sandwich, Cheddar cheese, on whole wheat bread",52,203,0.1,2.8,342,14.4,5.723,556,1.69,2.82
626,Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat American cheese, on white bread",35,180,0.0,1.2,303,11.32,4.558,762,1.81,5.67
627,Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat American cheese, on wheat bread",35,180,0.1,2.8,278,12.34,4.525,754,1.7,5.6
628,Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat American cheese, on whole wheat bread",35,180,0.1,2.8,278,12.34,4.525,754,1.7,5.6
629,Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat Cheddar cheese, on white bread",43,142,0.0,1.2,387,14.85,4.983,554,1.78,2.86
630,Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat Cheddar cheese, on wheat bread",43,142,0.1,2.8,362,15.87,4.95,547,1.68,2.79
